,final_test_error,epoch
0,70.4,0
1,71.84,1
2,72.64,2
3,73.15,3
4,73.7,4
5,74.18,5
6,74.71,6
7,75.18,7
8,75.61,8
9,75.88,9
10,76.12,10
11,76.33,11
12,76.61,12
13,76.76,13
14,76.85,14
15,76.92,15
16,77.0,16
17,77.05,17
18,77.03,18
19,77.13,19
20,77.25,20
21,77.35,21
22,77.39,22
23,77.44,23
24,77.56,24
25,77.61,25
26,77.7,26
27,77.7,27
28,77.72,28
29,77.81,29
30,77.85,30
31,77.87,31
32,77.89,32
33,77.9,33
34,77.93,34
35,77.93,35
36,77.98,36
37,78.0,37
38,78.01,38
39,78.05,39
40,78.07,40
41,78.12,41
42,78.15,42
43,78.17,43
44,78.17,44
45,78.18,45
46,78.2,46
47,78.23,47
48,78.25,48
49,78.3,49
50,78.32,50
51,78.34,51
52,78.37,52
53,78.37,53
54,78.41,54
55,78.42,55
56,78.41,56
57,78.38,57
58,78.28,58
59,78.1,59
