No hidden layers,1 hidden layer,2 hidden layers
88.09,90.43,90.25
10.27,13.47,9.67
9.64,11.53,7.59
9.52,10.25,7.26
9.11,9.63,6.13
8.9,8.49,6.11
9.75,8.36,5.74
8.76,9.74,5.62
8.9,7.79,5.38
8.59,7.56,5.24
9.93,7.33,5.11
8.63,7.03,4.75
8.98,6.86,4.95
8.63,6.73,4.69
9.24,6.52,4.81
9.16,6.4,4.66
8.74,5.96,4.29
8.77,5.94,4.37
8.73,6.05,4.21
8.65,5.71,4.34
8.84,6.09,4.3
8.44,5.69,4.38
8.82,5.9,3.9
8.64,5.62,4.05
8.39,5.02,4
8.47,5.21,4.08
9.05,5.1,3.95
8.63,5.05,4.26
8.54,4.94,3.9
8.43,5.17,3.8
8.7,5.12,3.72
8.41,4.96,3.75
8.63,4.98,3.71
8.73,5.11,3.99
8.41,4.82,3.54
9.01,4.59,3.85
8.39,4.52,3.74
8.21,4.67,3.73
8.24,4.66,3.38
9.02,4.95,3.6
8.18,4.42,3.75
8.47,4.62,3.59
8.4,4.8,3.43
9.3,4.76,3.52
8.44,4.56,3.54
8.09,4.3,3.45
8.5,4.1,3.48
8.68,4.4,3.42
8.54,4.23,3.45
8.6,4.61,3.38
8.24,4.31,3.26
8.22,4.21,3.28
8.33,4.21,3.36
8.32,4.18,3.18
8.22,4.04,3.26
8.47,4.09,3.27
8.29,4.3,3.24
8.16,3.83,3.29
8.24,4.21,3.03
8.35,4.13,3.32
8.19,4.13,3.6
